32-42-71,AUTOBRAKE SHUTTLE VALVE - REMOVAL/INSTALLATION,自动刹车往复活门-拆卸/安装,65
32-42-81,AUTOBRAKE PRESSURE CONTROL MODULE - REMOVAL/INSTALLATION,自动刹车压力控制组件-拆卸/安装,66
32-44-00,PARKING BRAKE SYSTEM - ADJUSTMENT/TEST,停留刹车系统-调节/测试,67
32-44-11,PARKING BRAKE LINKAGE - REMOVAL/INSTALLATION,停留刹车连杆-拆卸/安装,68
32-44-21,PARKING BRAKE SHUTOFF VALVE -REMOVAL/INSTALLATION,停留刹车关断活门-拆卸/安装,69
32-45-00-000-801,Tires and Wheels - Deflation/Inflation,轮胎和机轮-放气/充气,70
32-45-00-700-801,Wheels Fast Check (Wheel Installed on the Airplane),机轮快速检查(机轮已安装在飞机上),71
32-45-00-700-802,Wheels Inspection (Wheel Removed from the Airplane),机轮检查(机轮已从飞机上拆卸),72
32-45-00-700-803,Tires Inspection,轮胎检查,73
32-45-08,TIRE INFLATION VALVE - REMOVAL/INSTALLATION,轮胎充气活门-拆卸/安装,74
32-45-11-000-801,Main Landing Gear Wheel and Tire Assembly Removal,主起落架机轮和轮胎组件拆卸,75
32-45-11-400-801,Main Landing Gear Wheel and Tire Assembly Installation,主起落架机轮和轮胎组件安装,76
32-45-21-000-801,Nose Landing Gear Wheel and Tire Assembly Removal,前起落架轮舱和轮胎组件拆卸,77
32-45-21-400-801,Nose Landing Gear Wheel and Tire Assembly Installation,前起落架轮舱和轮胎组件安装,78
32-45-31,NOSE WHEEL SPIN BRAKE LINING -MAINTENANCE PRACTICES,前轮旋转刹车衬里-维护实施,79
32-46-00-740-801,Brake Temperature Monitoring System (BTMS) - BITE Test,刹车温度监控系统(BTMS)-BITE测试,80
32-46-00-710-801,Brake Temperature Sensors -Operational Test of Each Sensor,刹车温度传感器-每个传感器的操作测试,81
32-46-21-000-801,Brake Temperature Sensor Removal,刹车温度传感器拆卸,82
32-46-21-400-801,Brake Temperature Sensor Installation,刹车温度传感器安装,83
32-46-31-000-801,Brake Temperature Monitor Unit Removal,刹车温度监控组件拆卸,84
32-46-31-400-801,Brake Temperature Monitor Unit Installation,刹车温度监控组件安装,85
32-51-00,NOSE WHEEL STEERING SYSTEM -ADJUSTMENT/TEST,前轮转向系统-调节/测试,86
32-51-11,NOSE WHEEL STEERING - MAINTENANCE PRACTICES,前轮转向-维护实施,87
32-51-11,STEERING METERING VALVE - REMOVAL/INSTALLATION,转向调节活门-拆卸/安装,88
32-51-21,RUDDER PEDAL STEERING MECHANISM -REMOVAL/INSTALLATION,方向舵脚蹬转向机构-拆卸/安装,89
32-51-31,STEERING SYSTEM CABLES - REMOVAL/INSTALLATION,转向系统钢索-拆卸/安装,90
32-51-31,STEERING SYSTEM CABLES - INSPECTION/CHECK,转向系统钢索-检验/检查,91
32-51-41,NOSE LANDING GEAR CONTROL WHEEL AND TILLER ASSEMBLY - REMOVAL/INSTALLATION,前起落架操纵轮和舵柄组件-拆卸/安装,92
32-51-51,NOSE GEAR STEERING ACTUATOR -REMOVAL/INSTALLATION,前起落架转向作动筒-拆卸/安装,93
32-51-51,NOSE GEAR STEERING ACTUATOR -INSPECTION/CHECK,前起落架转向作动筒-检验/检查,94
32-51-52,NOSE LANDING GEAR STEERING SUMMING MECHANISM - REMOVAL/INSTALLATION,前起落架转弯合成机构-拆卸/安装,95
32-51-61,STEERING COLLAR - REMOVAL/INSTALLATION,转向护环-拆卸/安装,96
32-51-61,STEERING COLLAR - INSPECTION/CHECK,转向护环-检验/检查,97
32-51-81,RUDDER PEDAL STEERING ROTARY ACTUATOR - REMOVAL/INSTALLATION,方向舵脚蹬操纵旋转式作动筒-拆卸/安装,98
32-61-00,Landing Gear Position Indicating and Warning System - Test,起落架位置指示和警告系统-调节/测试,99
32-61-21,MAIN LANDING GEAR UPLOCK SENSOR -REMOVAL/INSTALLATION,主起落架上位锁传感器-拆卸/安装,100
32-61-21,MAIN LANDING GEAR UPLOCK SENSOR -ADJUSTMENT/TEST,主起落架上位锁传感器-调整/测试,101
32-61-31,MAIN LANDING GEAR DOWN-AND-LOCKED SENSOR - REMOVAL/INSTALLATION,主起落架下位锁传感器-拆卸/安装,102
32-61-31,MAIN LANDING GEAR DOWN-AND-LOCKED SENSOR - ADJUSTMENT/TEST,主起落架下位锁传感器-调整/测试,103
32-61-41,NOSE LANDING GEAR LOCK SENSOR -REMOVAL/INSTALLATION,前起落架锁传感器-拆卸/安装,104
32-61-41,NOSE LANDING GEAR LOCK SENSOR -ADJUSTMENT/TEST,前起落架锁传感器-调整/测试,105
32-61-51,NOSE LANDING GEAR DOWN POSITION SENSOR - REMOVAL/INSTALLATION,前起落架放下位置传感器-拆卸/安装,106
32-61-51,NOSE LANDING GEAR DOWN POSITION SENSOR - ADJUSTMENT/TEST,前起落架放下位置传感器-调整/测试,107
32-71-00,TAIL SKID ASSEMBLY - MAINTENANCE PRACTICES,尾撬组件-维护实施,108
32-71-00-200-801,Tailskid Cartridge Assembly -Inspection/Check,尾撬-检验/检查,109
32-71-21,TAIL SKID ASSEMBLY - REMOVAL/INSTALLATION,尾橇枢轴连杆-拆卸/安装,110
33-11-00,INSTRUMENT AND PANEL LIGHTS -MAINTENANCE PRACTICES,仪表和面板灯-维护实施,111
33-11-00-960-801,Captain’s Lighting Module - Module Replacement,机长照明设备组件-组件更换,112
33-11-00-960-802,First Officer’s Lighting Module - Module Replacement,副驾驶照明设备组件-组件更换,113
33-11-00-960-803,Control Column Memory Device - Lamp Replacement,驾驶杆存储装置-灯泡,114
33-11-00-960-804,Master Warning And Caution System Annunciator - Lamp Replacement,主警告和警示灯-灯泡更换,115
33-11-00-960-806,Master Warning And Caution System Annunciator - Light Assembly,主警告和警示灯-灯组件更换,116
33-14-00,MISCELLANEOUS LIGHTS - MAINTENANCE PRACTICES,混合灯-维护实施,117
33-14-00-960-801,Panel/Glareshield Floodlight - Light Assembly Replacement,面板/遮光屏照明灯-灯组件,118
33-14-00-960-802,Control Stand Floodlight - Lamp Replacement,操纵台泛光照明-灯更换,119
33-14-00-960-803,Oxygen Mask Floodlight - Light Assembly Replacement,氧气罩照明灯-灯组件更换,120
33-14-00-960-804,Dome Light - Lamp Replacement,舱顶灯-灯更换,121
33-14-00-000-801,Left Dome Light - Removal,左舱顶灯-拆卸,122
33-14-00-400-801,Left Dome Light - Installation,左舱顶灯-安装,123
33-14-00-960-805,Circuit Breaker Panel Light - Lamp Replacement,跳开关面板灯-灯更换,124
33-14-00-960-806,Dimmer Control Unit - Replacement,调光器控制装置-更换,125
33-14-00-710-801,Panel Floodlights - Operational Test of the Standby Relay,面板泛光灯-备用继电器操作测试,126
33-17-00-960-801,Map Light - Lamp Replacement,地图灯-灯更换,127
33-17-00-960-802,Flight Kit/Reading Light - Lamp Replacement,飞行工具/阅读灯-灯更换,128
33-17-00-960-803,Chart Light - Lamp Replacement,图表灯-灯更换,129
33-18-00,MASTER DIM AND TEST (MD&T) LIGHTS -MAINTENANCE PRACTICES,主调光和测试(MD&T)灯-维护实施,130
33-18-00-960-801,Indicator Light - Lamp Replacement,指示器灯-灯更换,131
33-18-00-710-802,Master Dim and Test - Operational Test,主调光和测试-操作测试,132
33-20-00-710-801-001,Passenger Compartment Lights -Operational Test,客舱灯-操作测试,133
33-21-00,WINDOW LIGHTS - MAINTENANCE PRACTICES,窗灯-维护实施,134
33-22-00,CEILING LIGHTS - MAINTENANCE PRACTICES,天花板灯-维护实施,135
33-23-00,READING LIGHTS - MAINTENANCE PRACTICES,阅读灯-维护实施,136
33-23-00-960-801,Reading Light - Lamp Replacement,阅读灯-灯泡更换,137
33-23-00-960-802,Reading Light - Light Assembly Replacement,阅读灯-灯组件更换,138
33-23-00-820-803,Reading Light - Adjustment and Test,阅读灯-调节和测试,139
33-23-00-820-801,Reading Light - PSU Circuit Board Replacement,阅读灯-PSU 电路板更换,140
33-23-00-960-803,Reading Light - PSU Circuit Board Fuse Replacement,阅读灯-PSU 电路板熔丝更换,141
33-25-00,INFORMATION SIGNS - MAINTENANCE PRACTICES,信息标志-维护实施,142
33-25-00-960-801,Information Sign - Lamp Replacement,信息标志-灯更换,143
33-26-01-960-801,Attendant Work Light - Lamp Replacement,乘务员工作灯-灯更换,144
33-26-01-960-802,Attendant Work Light - Light Assembly Replacement,乘务员工作灯-灯组件更换,145
33-26-02-960-801,Galley Light - Lamp Replacement,厨房灯-灯更换,146
33-26-02-960-802,Galley Light - Ballast Replacement,厨房灯-镇流器更换,147
33-26-03,LAVATORY LIGHTS AND SIGNS -MAINTENANCE PRACTICES,盥洗室灯和标志-维护实施,148
33-26-03-960-801,Lavatory Light - Lamp Replacement,盥洗室灯-灯泡更换,149
33-26-03-960-802,Lavatory Light - Ballast Replacement,盥洗室灯-镇流器更换,150
33-26-03-960-803,Lavatory-Occupied Sign - Light Assembly Replacement,盥洗室占用标志-灯组件更换,151
33-26-03-960-804,Lavatory Door Switch - Adjustment/Replacement,盥洗室门电门-调节/更换,152
33-27-00,PASSENGER AND LAVATORY CALL LIGHTS- MAINTENANCE PRACTICES,乘客和盥洗室呼叫灯-维护实施,153
33-27-00-960-801,Passenger Call Light - PSU Light/Switch Replacement,乘客呼叫灯-PSU 灯/电门更换,154
21-31-03,AFT OUTFLOW VALVE ASSEMBLY -REMOVAL/INSTALLATION,后外流活门组件-拆卸/安装,155
21-32-01,POSITIVE PRESSURE RELIEF VALVE -REMOVAL/INSTALLATION,正压释压活门-拆卸/安装,156
21-32-01-700-801,Positive Pressure Relief Valve - System Test with the Use of Hamilton Sundstrand Test Equipment,用Hamilton Sundstrand 测试设备对正压释压活门进行系统测试,157
21-32-01-700-802,Positive Pressure Relief Valve - System Test with the Use of Boeing Test Equipment,用波音测试设备对正压释压活门进行系统测试,158
21-32-02,POSITIVE PRESSURE RELIEF VALVE FILTER - REMOVAL/INSTALLATION,正压释压活门过滤器-拆卸/安装,159
21-32-03,NEGATIVE PRESSURE RELIEF VALVE -MAINTENANCE PRACTICES,负压释压活门-维护实施,160
21-32-05,CARGO COMPARTMENT BLOWOUT PANELS - REMOVAL/INSTALLATION,货舱释压板-拆卸/安装,161
21-33-00,CABIN PRESSURE INDICATION SYSTEM -ADJUSTMENT/TEST,客舱压力指示系统-调整/测试,162
21-33-00-000-801,Cabin Altitude Warning Switch Functional Test,客舱高度警告电门功能测试,163
21-33-00-700-801,Check of the Cabin Rate of Climb Indicator,检查客舱爬升率指示器,164
21-33-01,CABIN RATE OF CLIMB INDICATOR -REMOVAL/INSTALLATION,客舱爬升率指示器-拆卸/安装,165
21-33-02,CABIN ALTITUDE AND DIFFERENTIAL PRESSURE INDICATOR - REMOVAL/INSTALLATION,客舱高度和压差指示器-拆卸/安装,166
21-33-04,CABIN ALTITUDE WARNING SWITCH -REMOVAL/INSTALLATION,客舱高度和爬升率组件-拆卸和安装,167
33-27-00-960-802,Lavatory Call Light - Light/Switch Replacement,盥洗室呼叫灯-灯/电门更换,168
33-29-00,ENTRY LIGHTS - MAINTENANCE PRACTICES,入口灯-维护实施,169
33-29-00-960-801,Entry Light - Fluorescent Lamp Replacement,入口灯-荧光灯更换,170
33-32-00-960-801,Wheel Well Light - Lamp Replacement,轮舱灯-灯更换,171
33-32-00-710-801,Wheel Well Lights - Operational Test,轮舱灯-操作测试,172
33-33-00-960-801,Air Conditioning Compartment Light -Lamp Replacement,空调舱灯-灯更换,173
33-34-00-960-801,Electronic Equipment Compartment Light - Lamp Replacement,电子设备舱灯-灯更换,174
33-35-00-960-801,Accessory Compartment Light - Lamp Replacement,附属舱灯-灯更换,175
33-36-00,CARGO COMPARTMENT LIGHTS -MAINTENANCE PRACTICES,货舱灯-维护实施,176
33-36-00-960-801,天花板Cargo Compartment Light - Lamp Replacement Ceiling,货舱灯-灯更换,177
33-41-00,WING ILLUMINATION LIGHTS -MAINTENANCE PRACTICES,机翼照明灯-维护实施,178
33-41-00-960-801,Wing Illumination Light - Lamp Replacement,机翼照明灯-灯更换,179
33-42-01,FIXED LANDING LIGHTS - MAINTENANCE PRACTICES,固定着陆灯-维护实施,180
33-42-01-960-801,Fixed Landing Light - Lamp Replacement,固定着陆灯-灯更换,181
33-42-01-820-801,Fixed Landing Light - Light Beam Adjustment,固定着陆灯-光束调节,182
33-42-02,RETRACTABLE LANDING LIGHTS -MAINTENANCE PRACTICES,可收进着陆灯-维护实施,183
33-42-02-960-801,Retractable Landing Light - Lamp Replacement,可收进着陆灯-灯更换,184
33-42-02-960-803,Retractable Landing Light - Light Adjustment,可收进着陆灯-灯光调节,185
33-43-00,POSITION LIGHTS - MAINTENANCE PRACTICES,航行灯-维护实施,186
33-43-00-960-801,Position Light - Transformer Replacement,航行灯-变压器更换,187
33-43-00-710-801,Position Lights - Operational Test,航行灯-操作测试,188
33-43-01-960-801,Forward Position Light - Lamp Replacement,前航行灯-灯更换,189
33-43-02-960-801,Aft Position Light - Lamp Replacement,后航行灯-灯更换,190
33-43-02-960-802,Aft Position Light - Light Assembly Replacement,后航行灯-灯组件更换,191
33-43-10,WINGLET POSITION LIGHTS -MAINTENANCE PRACTICES,小翼航行灯-维护实施,192
33-43-10-960-801,Position Light - Transformer Replacement,航行灯-变压器更换,193
33-43-10-710-801,Position Lights - Operational Test,航行灯-操作测试,194
33-43-11,WINGLET FORWARD POSITION LIGHTS -MAINTENANCE PRACTICES,小翼前侧航行灯-维护实施,195
33-43-11-960-801,Forward Position Light - Lamp Replacement,前航行灯-灯更换,196
33-43-12-960-801,Aft Position Light - Lamp Replacement,后航行灯-灯更换,197
33-43-12-960-802,Aft Position Light - Light Assembly Replacement,后航行灯-灯组件更换,198
33-44-00-710-801,Anti-Collision Lights - Operational Test,防撞灯-操作测试,199
33-44-01,UPPER ANTI-COLLISION LIGHT -MAINTENANCE PRACTICES,上部防撞灯-维护实施,200
33-44-02,LOWER ANTI-COLLISION LIGHT -MAINTENANCE PRACTICES,下部防撞灯-维护实施,201
33-44-03,WING ANTI-COLLISION LIGHTS -MAINTENANCE PRACTICES,机翼防撞灯-维护实施,202
33-44-04-960-801,Wing Anti-Collision Light - Light Assembly Replacement,尾部防撞灯-灯更换,203
33-44-04,TAIL ANTI-COLLISION LIGHT -MAINTENANCE PRACTICES,尾部防撞灯-维护实施,204
33-44-13,WINGLET ANTI-COLLISION LIGHTS -MAINTENANCE PRACTICES,小翼防撞灯-维护实施,205
33-45-01,TAXI LIGHT - MAINTENANCE PRACTICES,滑行灯-维护实施,206
33-45-01-960-801,Taxi Light - Lamp Replacement,滑行灯-灯更换,207
33-45-01-000-801,Taxi Light Housing Assembly - Removal,滑行灯壳体组件-拆卸,208
33-45-01-400-801,Taxi Light Housing Assembly -Installation,滑行灯壳体组件-安装,209
33-45-01-350-801,Nose Landing Gear Taxi Light Lens -Temporary Repair,前起落架滑行灯透镜-临时修理,210
33-45-02-960-801,Runway Turnoff Light - Lamp Replacement,跑道侧向灯-灯更换,211
33-45-02-820-801,Runway Turnoff Light - Light Beam Adjustment,跑道侧向灯-光束调节,212
33-45-03-710-801,Taxi Light Relay - Operational Test,滑行灯继电器-操作测试,213
33-45-03-960-801,Taxi Light Relay - Replacement,滑行灯继电器-更换,214
33-46-00-710-801,Airstair Tread Light - Operational Test,登机梯踏板灯-操作测试,215
33-49-00-960-801,Logo Light - Lamp Replacement,标识灯-灯泡更换,216
33-49-00-960-802,Logo Light - Light Assembly Replacement,标识灯-灯组件更换,217
33-51-00-710-801,Emergency Lights - Operational Test,应急灯-操作测试,218
33-51-00-720-801,Emergency Lights - Operational Check,应急灯-操作检查,219
33-51-01-960-801,Exit Sign - Lamp Replacement,出口标志牌-灯泡更换,220
33-51-01-960-802,Exit Sign - Light Assembly Replacement,出口标志牌-灯组件更换,221
33-51-02-720-801,Self Illuminated Exit Sign - Functional Test,自照明出口标志牌-功能测试,222
33-51-02-020-801,Self Illuminated Exit Sign - Removal,自照明出口标志牌-拆卸,223
33-51-02-400-801,Self Illuminated Exit Sign - Installation,自照明出口标志牌-安装,224
33-51-03-960-801,Area Light - Lamp Replacement,区域灯-灯更换,225
33-51-03-960-802,Area Light - Light Assembly Replacement,区域灯-灯组件更换,226
33-51-04-960-801,Slide/Overwing Light - Lamp Replacement,滑梯/翼上灯-灯更换,227
33-51-06,POWER SUPPLIES - MAINTENANCE PRACTICES,电源-维护实施,228
33-51-12-960-801,Floor Proximity Light - Lamp Replacement,地面接近灯-灯更换,229
33-51-12-960-802,Floor Proximity Light - Light Assembly Replacement,地面接近灯-灯组件更换,230
33-51-14,FLOOR PROXIMITY LIGHTS ON GALLEYS LAVATORIES CLOSETS AND WINDSCREENS - MAINTENANCE PRACTICES,厨房、盥洗室、储藏室和挡风玻璃上的地面接近灯-维护实施,231
33-51-15,FLOOR PROXIMITY LIGHTSPHOTOLUMINESCENT - MAINTENANCE PRACTICES,荧光地面接近灯-维护实施,232
33-51-15-860-802,Floor Proximity Light - Light Assembly Replacement,客舱照明设备-测量有效的光强,233
34-11-00,STATIC AND TOTAL AIR PRESSURE SYSTEM - MAINTENANCE PRACTICES,静压和全压系统-维护实施,234
34-11-00-790-803,Captain’s Total Air Pressure System -Pressurization,机长全压系统-增加压力,235
34-11-00-790-802,Static and Total Air Pressure System -Pressurization,静压和全压系统-增加压力,236
34-11-00,STATIC AND TOTAL AIR PRESSURE SYSTEM - SERVICING,静压和全压系统-勤务,237
34-11-00,STATIC AND TOTAL AIR PRESSURE SYSTEM - ADJUSTMENT/TEST,静压和全压系统-调整/测试,238
34-11-01-000-801,Pitot Probe Removal,全压探头拆卸,239
34-11-01-400-801,Pitot Probe Installation,全压探头安装,240
34-11-01-200-804,Pitot Probe - Detailed Inspection,空速管探头-详细检查,241
34-11-01-200-803,Pitot Probe - Special Detailed Inspection,空速管探头-特别详细检查,242
34-11-01-100-801,Pitot Probe Cleaning,全压探头清洗,243
1934/11/2,STATIC PORT - REMOVAL/INSTALLATION,静压孔-拆卸/安装,244
34-11-02-200-803,Static Port - Detailed Inspection,静压孔-详细检查,245
34-11-02-200-801,Static Port - Special Detailed Inspection,静压孔-特别详细的检查,246
34-13-00-730-801,Air Data Instruments - System Test,大气数据仪表-系统测试,247
34-13-01,STANDBY ALTIMETER/AIRSPEED INDICATOR - REMOVAL/INSTALLATION,高度／空速指示器 -拆卸/安装,248
34-16-00-730-801,Mach Airspeed Warning System - Aural Warning Discrete Output Test,马赫数空速警告系统-声响警告离散输出测试,249
34-21-00-820-801,Air Data Inertial Reference System -Alignment from the FMC CDU,通过FMC CDU 校准大气数据惯导基准系统 34-21-00-820-801,250
34-21-00-820-802,Air Data Inertial Reference System -Alignment from the ISDU,通过ISDU 校准大气数据惯导基准系统,251
34-21-00-200-801,IR Radial Position Error Check,IR 径向位置误差检查,252
34-21-00-200-802,Inertial Reference Residual Groundspeed Error Check,惯性基准剩余地速误差检查,253
34-21-00-710-801,Air Data Inertial Reference System -Operational Test,大气数据惯导基准系统-操作测试,254
34-21-00-730-801,Inertial Reference - System Test,系统测试惯性基准,255
34-21-00-730-802,Air Data Reference - System Test,大气数据参考-系统测试,256
34-21-01-000-801,Air Data Inertial Reference Unit Removal,大气数据惯导基准组件拆卸,257
34-21-01-400-801,Air Data Inertial Reference Unit Installation,大气数据惯导基准组件安装,258
34-21-02-000-801,Inertial System Display Unit Removal,惯性系统显示组件拆卸,259
34-21-02-400-801,Inertial System Display Unit Installation,惯性系统显示组件安装,260
34-21-03-000-801,IRS Mode Select Unit Removal,IRS 模式选择组件拆卸,261
34-21-03-400-801,IRS Mode Select Unit Installation,IRS 模式选择组件安装,262
34-21-04-000-801,Pitot Air Data Module Removal,空速管大气数据模块拆卸,263
34-21-04-000-802,Static Air Data Module Removal,静态大气数据组件拆卸,264
